tool,TP,FP,TN,FN,PRECISION,ACCURACY,RECALL,F1,Project
pmd,5,11999,2717,2,0.0004165278240586,0.1848807987502547,0.1848807987502547,0.0008325701440346,biojava
pmd,1,6512,4543,0,0.0001535390756947,0.4109985528219971,0.4109985528219971,0.000307031010132,bitcoinj
pmd,0,39,34,2,0.0,0.4533333333333333,0.4533333333333333,0.0,bitvunit
pmd,3,1925,1179,30,0.0015560165975103,0.3767931144405483,0.3767931144405483,0.0030596634370219,blueprints
pmd,27,99,118,21,0.2142857142857142,0.5471698113207547,0.5471698113207547,0.3103448275862068,candybean
pmd,43,160,100,36,0.2118226600985221,0.4218289085545723,0.4218289085545723,0.3049645390070922,cassandra-lucene-index
pmd,24,444,302,51,0.0512820512820512,0.3970767356881851,0.3970767356881851,0.0883977900552486,cassandra-reaper
pmd,18,4801,1634,1,0.0037352147748495,0.2559652928416486,0.2559652928416486,0.0074410913600661,cdi-tck
pmd,6,306,152,11,0.0192307692307692,0.3326315789473684,0.3326315789473684,0.0364741641337386,chicory
pmd,94,2913,2570,151,0.031260392417692,0.4650837988826816,0.4650837988826816,0.057810578105781,choco3
pmd,0,8,344,1,0.0,0.9745042492917848,0.9745042492917848,0.0,clojure
pmd,0,4,0,0,0.0,0.0,0.0,0.0,closure-templates
pmd,9,836,730,1,0.0106508875739644,0.4689086294416243,0.4689086294416243,0.0210526315789473,cloud-slang
pmd,2,30,12,2,0.0625,0.3043478260869565,0.3043478260869565,0.1111111111111111,commons
pmd,153,1863,1729,326,0.0758928571428571,0.4622942765905183,0.4622942765905183,0.1226452905811623,commons-bcel
pmd,7,544,365,10,0.0127041742286751,0.4017278617710583,0.4017278617710583,0.0246478873239436,commons-codec
pmd,12,1608,642,21,0.0074074074074074,0.2864651773981603,0.2864651773981603,0.014519056261343,commons-compress
pmd,61,809,1651,126,0.0701149425287356,0.6467699282206272,0.6467699282206272,0.1154210028382214,commons-dbcp
pmd,0,108,136,0,0.0,0.5573770491803278,0.5573770491803278,0.0,commons-fileupload
