tool,TP,FP,TN,FN,PRECISION,ACCURACY,RECALL,F1,Project
findbugs,1,104,1231,0,0.0095238095238095,0.9221556886227544,0.9221556886227544,0.0188679245283018,ij1-patcher
findbugs,0,311,1257,0,0.0,0.8016581632653061,0.8016581632653061,0.0,imglib2
findbugs,71,259,0,0,0.2151515151515151,0.2151515151515151,0.2151515151515151,0.3541147132169576,immutables
findbugs,2,177,1169,18,0.0111731843575419,0.8572474377745242,0.8572474377745242,0.0201005025125628,infovore
findbugs,2,287,2007,3,0.0069204152249134,0.8738581992170509,0.8738581992170509,0.0136054421768707,jackcess
findbugs,209,449,2534,247,0.3176291793313069,0.7976155859261413,0.7976155859261413,0.3752244165170556,jackrabbit-oak
findbugs,2,149,3087,44,0.0132450331125827,0.941194393662401,0.941194393662401,0.0203045685279187,jackson-core
findbugs,38,543,5737,418,0.0654044750430292,0.857333729216152,0.857333729216152,0.073288331726133,jackson-databind
findbugs,0,64,503,10,0.0,0.8717504332755632,0.8717504332755632,0.0,jackson-dataformat-xml
findbugs,1,488,3460,154,0.0020449897750511,0.8435291250304655,0.8435291250304655,0.0031055900621118,jannovar
findbugs,3,101,445,11,0.0288461538461538,0.8,0.8,0.0508474576271186,java-util
findbugs,0,0,0,0,0.0,0.0,0.0,0.0,javamailspec
findbugs,4,229,1401,13,0.0171673819742489,0.8530661809350334,0.8530661809350334,0.032,javasimon
findbugs,0,636,5105,0,0.0,0.8892179062881032,0.8892179062881032,0.0,javassist
findbugs,0,195,1381,7,0.0,0.8723941882501579,0.8723941882501579,0.0,jaxb2-basics
findbugs,0,0,31,0,0.0,1.0,1.0,0.0,jaxb2-maven-plugin
findbugs,53,19,146,104,0.7361111111111112,0.6180124223602484,0.6180124223602484,0.462882096069869,jboss-ejb-client
findbugs,0,72,472,5,0.0,0.8597449908925319,0.8597449908925319,0.0,jbossws-spi
findbugs,6,61,327,18,0.0895522388059701,0.808252427184466,0.808252427184466,0.1318681318681318,jcunit
findbugs,2,45,146,3,0.0425531914893617,0.7551020408163265,0.7551020408163265,0.0769230769230769,jenkins-sonar-plugin
findbugs,0,109,1005,3,0.0,0.8997314234556849,0.8997314234556849,0.0,jline2
findbugs,6,351,3133,3,0.0168067226890756,0.8986544517606642,0.8986544517606642,0.0327868852459016,jmeld
findbugs,10,500,0,0,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0384615384615384,jmeter-plugins
findbugs,0,400,16,0,0.0,0.0384615384615384,0.0384615384615384,0.0,jndn
findbugs,4,72,137,0,0.0526315789473684,0.6619718309859155,0.6619718309859155,0.1,jongo
findbugs,2,28,45,15,0.0666666666666666,0.5222222222222223,0.5222222222222223,0.0851063829787234,jqassistant
