tool,TP,FP,TN,FN,PRECISION,ACCURACY,RECALL,F1,Project
sonarqube,0,2422,3843,0,0.0,0.6134078212290502,0.6134078212290502,0.0,mp4parser
sonarqube,0,202,376,0,0.0,0.6505190311418685,0.6505190311418685,0.0,mule-common
sonarqube,5,399,1669,13,0.0123762376237623,0.8024928092042186,0.8024928092042186,0.0236966824644549,mybatis-3
sonarqube,4,13,65,8,0.2352941176470588,0.7666666666666667,0.7666666666666667,0.2758620689655172,mybatis-spring
sonarqube,0,203,465,0,0.0,0.6961077844311377,0.6961077844311377,0.0,nbm-maven-plugin
sonarqube,13,671,2077,8,0.0190058479532163,0.7547851209823041,0.7547851209823041,0.0368794326241134,neo4j-ogm
sonarqube,0,196,279,0,0.0,0.5873684210526315,0.5873684210526315,0.0,nettosphere
sonarqube,4,76,216,8,0.05,0.7236842105263158,0.7236842105263158,0.0869565217391304,netty-socketio
sonarqube,0,0,7697,158,0.0,0.9798854232972628,0.9798854232972628,0.0,nfsdb
sonarqube,22,361,454,42,0.0574412532637075,0.5415244596131968,0.5415244596131968,0.0984340044742729,ninja
sonarqube,0,265,457,2,0.0,0.6312154696132597,0.6312154696132597,0.0,objectify
sonarqube,1,143,747,0,0.0069444444444444,0.8395061728395061,0.8395061728395061,0.0137931034482758,omnifaces
sonarqube,1,385,900,1,0.0025906735751295,0.7000777000777001,0.7000777000777001,0.0051546391752577,ormlite-core
sonarqube,0,0,3351,329,0.0,0.9105978260869564,0.9105978260869564,0.0,owlapi
sonarqube,7,36,52,4,0.1627906976744186,0.5959595959595959,0.5959595959595959,0.2592592592592593,owner
sonarqube,0,0,2751,1080,0.0,0.7180892717306187,0.7180892717306187,0.0,pdfbox
sonarqube,0,242,449,0,0.0,0.6497829232995659,0.6497829232995659,0.0,pebble
sonarqube,17,1125,3057,12,0.0148861646234676,0.7299928758014723,0.7299928758014723,0.0290350128095644,pgjdbc
sonarqube,4,66,289,5,0.0571428571428571,0.804945054945055,0.804945054945055,0.1012658227848101,photon
sonarqube,0,0,219,0,0.0,1.0,1.0,0.0,podam
sonarqube,0,130,242,1,0.0,0.6487935656836461,0.6487935656836461,0.0,pushy
sonarqube,24,1771,1921,23,0.0133704735376044,0.5201925648569136,0.5201925648569136,0.0260586319218241,qpid-proton
sonarqube,0,257,469,0,0.0,0.6460055096418733,0.6460055096418733,0.0,randomcoder-website
sonarqube,2,162,548,2,0.0121951219512195,0.7703081232492998,0.7703081232492998,0.0238095238095238,raven-java
sonarqube,7,654,703,10,0.010590015128593,0.5167394468704513,0.5167394468704513,0.0206489675516224,redpen
sonarqube,0,0,0,0,0.0,0.0,0.0,0.0,remoting
sonarqube,81,490,954,30,0.1418563922942206,0.6655948553054662,0.6655948553054662,0.2375366568914956,requestor
sonarqube,5,266,576,19,0.018450184501845,0.6709006928406467,0.6709006928406467,0.0338983050847457,rest-assured
sonarqube,179,3818,8452,61,0.044783587690768,0.6899280575539568,0.6899280575539568,0.084493745574699,riak-java-client
sonarqube,0,71,47,0,0.0,0.3983050847457627,0.3983050847457627,0.0,rosette-common-java-api
sonarqube,23,163,215,2,0.1236559139784946,0.5905707196029777,0.5905707196029777,0.2180094786729857,rtree
sonarqube,0,268,503,0,0.0,0.6523994811932555,0.6523994811932555,0.0,rxjava-extras
sonarqube,0,0,432,0,0.0,1.0,1.0,0.0,saltstack-netapi-client-java
sonarqube,1,375,1706,0,0.0026595744680851,0.8198847262247838,0.8198847262247838,0.0053050397877984,scheduler
sonarqube,7,304,812,10,0.022508038585209,0.7228596646072374,0.7228596646072374,0.0426829268292682,selenese-runner-java
