Rule name,Classification
naming.xml/ConstructorWithNameAsEnclosingClass,Naming Conventions
naming.xml/GenericsNaming,Naming Conventions
naming.xml/LongVariable,Naming Conventions
naming.xml/MethodNamingConventions,Naming Conventions
naming.xml/MethodWithSameNameAsEnclosingClass,Naming Conventions
naming.xml/MisleadingVariableName,Naming Conventions
naming.xml/NoPackage,Naming Conventions
naming.xml/PackageCase,Naming Conventions
naming.xml/ShortClassName,Naming Conventions
naming.xml/ShortMethodName,Naming Conventions
naming.xml/ShortVariable,Naming Conventions
naming.xml/SuspiciousConstantFieldName,Naming Conventions
naming.xml/SuspiciousEqualsMethodName,Naming Conventions
naming.xml/SuspiciousHashcodeMethodName,Naming Conventions
naming.xml/VariableNamingConventions,Naming Conventions
optimizations.xml,Multiple
optimizations.xml/AddEmptyString,Best Practices
optimizations.xml/AvoidArrayLoops,Best Practices
optimizations.xml/AvoidInstantiatingObjectsInLoops,Best Practices
optimizations.xml/LocalVariableCouldBeFinal,Best Practices
optimizations.xml/MethodArgumentCouldBeFinal,Best Practices
optimizations.xml/PrematureDeclaration,Refactorings - Redundancies
optimizations.xml/RedundantFieldInitializer,Refactorings - Redundancies
optimizations.xml/SimplifyStartsWith,Best Practices
optimizations.xml/UnnecessaryWrapperObjectCreation,Refactorings - Redundancies
optimizations.xml/UseArrayListInsteadOfVector,Best Practices
optimizations.xml/UseArraysAsList,Best Practices
optimizations.xml/UseStringBufferForStringAppends,Best Practices
strictexception.xml,Error Handling
strictexception.xml/AvoidCatchingGenericException,Error Handling
strictexception.xml/AvoidCatchingNPE,Error Handling
strictexception.xml/AvoidCatchingThrowable,Error Handling
strictexception.xml/AvoidLosingExceptionInformation,Error Handling
strictexception.xml/AvoidRethrowingException,Error Handling
strictexception.xml/AvoidThrowingNewInstanceOfSameException,Error Handling
strictexception.xml/AvoidThrowingNullPointerException,Error Handling
strictexception.xml/AvoidThrowingRawExceptionTypes,Error Handling
strictexception.xml/DoNotExtendJavaLangError,Error Handling
strictexception.xml/DoNotThrowExceptionInFinally,Error Handling
strictexception.xml/ExceptionAsFlowControl,Error Handling
strictexception.xml/SignatureDeclareThrowsException,Error Handling
strings.xml,Multiple
strings.xml/AppendCharacterWithChar,Best Practices
strings.xml/AvoidDuplicateLiterals,Refactorings - Redundancies
strings.xml/AvoidStringBufferField,Best Practices
strings.xml/ConsecutiveAppendsShouldReuse,Best Practices
strings.xml/ConsecutiveLiteralAppends,Best Practices
strings.xml/InefficientEmptyStringCheck,Best Practices
strings.xml/InefficientStringBuffering,Best Practices
strings.xml/InsufficientStringBufferDeclaration,Best Practices
strings.xml/StringBufferInstantiationWithChar,Best Practices
strings.xml/StringInstantiation,Best Practices
strings.xml/StringToString,Refactorings - Redundancies
strings.xml/UnnecessaryCaseChange,Best Practices
strings.xml/UseEqualsToCompareStrings,Logic
strings.xml/UseIndexOfChar,Best Practices
strings.xml/UselessStringValueOf,Refactorings - Redundancies
strings.xml/UseStringBufferLength,Best Practices
sunsecure.xml,Multiple
sunsecure.xml/ArrayIsStoredDirectly,Best Practices
sunsecure.xml/MethodReturnsInternalArray,Interface
typeresolution.xml,Multiple
typeresolution.xml/CloneMethodMustImplementCloneable,Interface
typeresolution.xml/LooseCoupling,Best Practices
typeresolution.xml/SignatureDeclareThrowsException,Error Handling
typeresolution.xml/UnusedImports,Code Structure
unnecessary.xml,Refactorings - Redundancies
unnecessary.xml/UnnecessaryConversionTemporary,Refactorings - Redundancies
unnecessary.xml/UnnecessaryFinalModifier,Refactorings - Redundancies
unnecessary.xml/UnnecessaryReturn,Refactorings - Redundancies
unnecessary.xml/UnusedNullCheckInEquals,Refactorings - Redundancies
unnecessary.xml/UselessOperationOnImmutable,Refactorings - Redundancies
unnecessary.xml/UselessOverridingMethod,Refactorings - Redundancies
unnecessary.xml/UselessParentheses,Refactorings - Redundancies
unusedcode.xml,Refactorings - Redundancies
unusedcode.xml/UnusedFormalParameter,Refactorings - Redundancies
unusedcode.xml/UnusedLocalVariable,Refactorings - Redundancies
unusedcode.xml/UnusedModifier,Refactorings - Redundancies
unusedcode.xml/UnusedPrivateField,Refactorings - Redundancies
unusedcode.xml/UnusedPrivateMethod,Refactorings - Redundancies
